found_minima,found_saddles,bias_count,energy_calls_at_each_min,force_calls_at_each_min,run_id,seed,bias_std_dev_scale,bias_covariance,bias_height_fraction,bias_height,perturbation_size,optimizer
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.46669411]), array([-0.55822364,  1.44172584])]","[array([ 0.5499111 , -0.51701706]), array([ 0.48454217, -0.47514387]), array([ 0.5499111 , -0.51701706]), array([ 0.48454217, -0.47514387])]",6,"[13, 25, 93]","[13, 25, 93]",811,2,0.125,0.004726562500000001,0.2,7.6000000000000005,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ]), array([-0.55822363,  1.44172584])]","[array([0.75389833, 0.56235613]), array([0.98599536, 0.47554424]), array([0.75389833, 0.56235613]), array([0.98599536, 0.47554424])]",20,"[13, 63, 360]","[13, 63, 360]",812,3,0.125,0.004726562500000001,0.2,7.6000000000000005,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ]), array([-0.55822363,  1.44172584])]","[array([ 1.03541417, -0.42874032]), array([0.95604836, 0.46414732]), array([ 1.03541417, -0.42874032]), array([0.95604836, 0.46414732])]",8,"[13, 79, 129]","[13, 79, 129]",813,4,0.125,0.004726562500000001,0.2,7.6000000000000005,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001081,  0.46669411]), array([-0.55822363,  1.44172584])]","[array([0.29353161, 0.46806191]), array([-0.24448906,  1.02701779]), array([0.29353161, 0.46806191]), array([-0.24448906,  1.02701779])]",4,"[13, 24, 58]","[13, 24, 58]",814,5,0.125,0.004726562500000001,0.2,7.6000000000000005,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001083,  0.4666941 ]), array([-0.55822363,  1.44172584])]","[array([ 1.12919142, -0.18823888]), array([ 1.29942748, -0.12342218]), array([ 1.12919142, -0.18823888]), array([ 1.29942748, -0.12342218])]",23,"[13, 24, 400]","[13, 24, 400]",815,6,0.125,0.004726562500000001,0.2,7.6000000000000005,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001083,  0.46669411]), array([-0.55822363,  1.44172584])]","[array([0.16460483, 0.33121389]), array([ 0.99543022, -0.38292642]), array([0.16460483, 0.33121389]), array([ 0.99543022, -0.38292642])]",15,"[13, 26, 261]","[13, 26, 261]",816,7,0.125,0.004726562500000001,0.2,7.6000000000000005,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.55822363,  1.44172584]), array([-0.05001082,  0.4666941 ])]","[array([0.96629572, 0.45814319]), array([-0.01013448,  1.48753278]), array([0.96629572, 0.45814319]), array([-0.01013448,  1.48753278])]",6,"[13, 31, 83]","[13, 31, 83]",817,8,0.125,0.004726562500000001,0.2,7.6000000000000005,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001084,  0.46669411]), array([-0.55822363,  1.44172584])]","[array([ 0.7118771 , -0.52721951]), array([ 1.22269784, -0.28972801]), array([ 0.7118771 , -0.52721951]), array([ 1.22269784, -0.28972801])]",19,"[13, 44, 313]","[13, 44, 313]",818,9,0.125,0.004726562500000001,0.2,7.6000000000000005,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001085,  0.46669411]), array([-0.55822363,  1.44172584])]","[array([ 0.89446485, -0.45058289]), array([ 0.7152416 , -0.52724805]), array([ 0.89446485, -0.45058289]), array([ 0.7152416 , -0.52724805])]",7,"[13, 31, 133]","[13, 31, 133]",819,10,0.125,0.004726562500000001,0.2,7.6000000000000005,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001078,  0.4666941 ]), array([-0.55822365,  1.44172583])]","[array([0.10855492, 0.14483074]), array([-0.87637841,  0.52151646]), array([0.10855492, 0.14483074]), array([-0.87637841,  0.52151646])]",120,"[101, 3050, 14294]","[101, 3050, 14294]",820,1,0.125,0.004726562500000001,0.2,7.6000000000000005,0.01,FIRE
