found_minima,found_saddles,bias_count,energy_calls_at_each_min,force_calls_at_each_min,run_id,seed,bias_std_dev_scale,bias_covariance,bias_height_fraction,bias_height,perturbation_size,optimizer
"[array([0.62349941, 0.02803776]), array([-0.05004427,  0.46670297]), array([-0.55822364,  1.44172583])]","[array([0.2730175 , 0.28834434]), array([-0.80376711,  0.60740985]), array([0.2730175 , 0.28834434]), array([-0.80376711,  0.60740985])]",140,"[101, 2245, 16609]","[101, 2245, 16609]",501,2,0.2,0.012100000000000003,0.1,3.8000000000000003,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.050027  ,  0.46669826]), array([-0.55822363,  1.44172585])]","[array([0.21946496, 0.27350456]), array([-0.19966375,  0.07570199]), array([0.21946496, 0.27350456]), array([-0.19966375,  0.07570199])]",83,"[101, 1066, 10131]","[101, 1066, 10131]",443,4,0.2,0.012100000000000003,0.2,7.6000000000000005,0.005,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05011038,  0.46672021]), array([-0.55822362,  1.44172586])]","[array([0.11160123, 0.14926965]), array([-0.87182211,  0.54169117]), array([0.11160123, 0.14926965]), array([-0.87182211,  0.54169117])]",70,"[101, 1969, 8166]","[101, 1969, 8166]",424,5,0.2,0.012100000000000003,0.2,7.6000000000000005,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05011036,  0.4667202 ]), array([-0.55822363,  1.44172585])]","[array([0.27865226, 0.2962482 ]), array([-0.75133704,  0.64903272]), array([0.27865226, 0.2962482 ]), array([-0.75133704,  0.64903272])]",71,"[101, 1193, 8367]","[101, 1193, 8367]",444,5,0.2,0.012100000000000003,0.2,7.6000000000000005,0.005,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001848,  0.46669603]), array([-0.55822365,  1.44172582])]","[array([0.15941524, 0.17826131]), array([-0.84429855,  0.60325772]), array([0.15941524, 0.17826131]), array([-0.84429855,  0.60325772])]",66,"[101, 1693, 7698]","[101, 1693, 7698]",425,6,0.2,0.012100000000000003,0.2,7.6000000000000005,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001849,  0.46669603]), array([-0.55822362,  1.44172586])]","[array([0.22800373, 0.29314968]), array([-0.82915373,  0.61600893]), array([0.22800373, 0.29314968]), array([-0.82915373,  0.61600893])]",55,"[101, 887, 6446]","[101, 887, 6446]",445,6,0.2,0.012100000000000003,0.2,7.6000000000000005,0.005,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05004736,  0.46670384]), array([-0.55822365,  1.44172582])]","[array([0.22487063, 0.29395793]), array([-0.83610235,  0.60209289]), array([0.22487063, 0.29395793]), array([-0.83610235,  0.60209289])]",149,"[101, 2557, 17755]","[101, 2557, 17755]",502,3,0.2,0.012100000000000003,0.1,3.8000000000000003,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05012982,  0.46672482]), array([-0.55822365,  1.44172583])]","[array([0.12517519, 0.10965749]), array([-0.19183685,  0.12693321]), array([0.12517519, 0.10965749]), array([-0.19183685,  0.12693321])]",82,"[101, 1998, 9722]","[101, 1998, 9722]",426,7,0.2,0.012100000000000003,0.2,7.6000000000000005,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05012983,  0.46672481]), array([-0.55822365,  1.44172583])]","[array([0.14630131, 0.17091329]), array([-0.21952098,  0.11067672]), array([0.14630131, 0.17091329]), array([-0.21952098,  0.11067672])]",79,"[101, 2028, 9426]","[101, 2028, 9426]",446,7,0.2,0.012100000000000003,0.2,7.6000000000000005,0.005,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001821,  0.46669596]), array([-0.55822362,  1.44172585])]","[array([0.22446912, 0.29363124]), array([-0.21919405,  0.12524418]), array([0.22446912, 0.29363124]), array([-0.21919405,  0.12524418])]",84,"[101, 1322, 9864]","[101, 1322, 9864]",427,8,0.2,0.012100000000000003,0.2,7.6000000000000005,0.01,FIRE
