found_minima,found_saddles,minima_l2_error_mean,minima_l2_error_stdv,minima_l2_error_max,saddle_l2_error_mean,saddle_l2_error_stdv,saddle_l2_error_max,bias_count,energy_calls_at_each_min,force_calls_at_each_min,run_id,seed,bias_std_dev_scale,bias_covariance,bias_height_fraction,bias_height,perturbation_size,optimizer
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ])]","[array([0.2081301 , 0.28783415]), array([0.2081301 , 0.28783415])]",8.708788748110217e-10,1.3335685737671866e-10,1.0042357321877404e-09,0.006748665164205148,0.0,0.006748665164205148,2000,"[104, 162166]","[104, 162166]",590,111,0.07142857142857142,0.0015433673469387754,0.01,0.38,0.001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001083,  0.46669411])]","[array([0.17583533, 0.26785199]), array([0.17583533, 0.26785199])]",2.3870970955504653e-09,1.3828613633627251e-09,3.76995845891319e-09,0.044442649444172005,0.0,0.044442649444172005,2000,"[104, 171988]","[104, 171988]",595,61,0.07142857142857142,0.0015433673469387754,0.01,0.38,0.0001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001083,  0.46669411])]","[array([0.93009426, 0.05214933]), array([0.93009426, 0.05214933])]",2.861247798896726e-09,1.8570120667089855e-09,4.718259865605712e-09,0.756943991164013,0.0,0.756943991164013,2000,"[104, 161513]","[104, 161513]",588,42,0.07142857142857142,0.0015433673469387754,0.01,0.38,0.001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ])]","[array([ 0.79873261, -0.15495564]), array([ 0.79873261, -0.15495564])]",2.7193539543549477e-09,1.7151182221672073e-09,4.434472176522155e-09,0.7377927847740561,0.0,0.7377927847740561,2000,"[104, 137836]","[104, 137836]",576,42,0.07142857142857142,0.0015433673469387754,0.01,0.38,0.1,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822363,  1.44172584])]","[array([0.72161226, 0.07148239]), array([0.72161226, 0.07148239])]",2.1876477419100082e-10,2.6741061615686894e-11,2.455058358066877e-10,0.5552241287137621,0.0,0.5552241287137621,2000,"[13, 4161]","[13, 4161]",591,42,0.07142857142857142,0.0015433673469387754,0.01,0.38,0.001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ])]","[array([0.20504812, 0.29180848]), array([0.20504812, 0.29180848])]",1.8288486104719811e-09,8.246128782842407e-10,2.6534614887562217e-09,0.007531449665617946,0.0,0.007531449665617946,2000,"[104, 88835]","[104, 88835]",476,111,0.1,0.0030250000000000008,0.01,0.38,0.0001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ])]","[array([0.23113328, 0.32061798]), array([0.23113328, 0.32061798])]",2.1266821120906932e-09,1.122446379902953e-09,3.2491284919936463e-09,0.033333129441845466,0.0,0.033333129441845466,2000,"[104, 89459]","[104, 89459]",463,61,0.1,0.0030250000000000008,0.01,0.38,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.46669411]), array([-0.55822363,  1.44172584])]","[array([-0.1399815 ,  0.37142801]), array([0.1332218 , 0.27749036]), array([-0.1399815 ,  0.37142801]), array([0.1332218 , 0.27749036])]",3.3972857023982707e-10,1.679313477620449e-10,5.756333790234223e-10,0.220928209945237,0.1401625404629384,0.3610907504081754,887,"[13, 21489, 35995]","[13, 21489, 35995]",477,42,0.1,0.0030250000000000008,0.01,0.38,0.0001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ]), array([-0.55822364,  1.44172584])]","[array([ 0.82764527, -0.14930697]), array([ 0.64736338, -0.23543496]), array([ 0.82764527, -0.14930697]), array([ 0.64736338, -0.23543496])]",2.4065792169766487e-09,1.1988642787348415e-09,3.932970870208325e-09,0.7210090388976591,0.03664876216756835,0.7576578010652275,1980,"[104, 47474, 252255]","[104, 47474, 252255]",529,61,0.07142857142857142,0.0015433673469387754,0.03333333333333333,1.2666666666666666,0.1,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001083,  0.46669411])]","[array([0.2659919 , 0.31776575]), array([0.2659919 , 0.31776575])]",2.7506025688295366e-09,1.7463668366417965e-09,4.496969405471333e-09,0.058963885820419705,0.0,0.058963885820419705,2000,"[104, 51865]","[104, 51865]",536,111,0.07142857142857142,0.0015433673469387754,0.03333333333333333,1.2666666666666666,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ])]","[array([0.18751001, 0.26738613]), array([0.18751001, 0.26738613])]",2.5843943452130927e-09,1.5801586130253526e-09,4.164552958238445e-09,0.03576732636713336,0.0,0.03576732636713336,2000,"[104, 49861]","[104, 49861]",534,42,0.07142857142857142,0.0015433673469387754,0.03333333333333333,1.2666666666666666,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ]), array([-0.55822363,  1.44172584])]","[array([-0.03062619,  0.44730982]), array([-0.05771111,  0.46031402]), array([-0.03062619,  0.44730982]), array([-0.05771111,  0.46031402])]",4.2976813273967177e-10,2.432186695770778e-10,7.734316574383324e-10,0.3028844179687268,0.014927921190601018,0.3178123391593278,210,"[13, 9745, 9766]","[13, 9745, 9766]",537,42,0.07142857142857142,0.0015433673469387754,0.03333333333333333,1.2666666666666666,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ]), array([-0.55822363,  1.44172584])]","[array([-0.0239061 ,  0.46692079]), array([-0.1535615 ,  0.47542511]), array([-0.0239061 ,  0.46692079]), array([-0.1535615 ,  0.47542511])]",2.3516870765586575e-10,1.2575084640501458e-10,3.837524472820952e-10,0.3512389261730179,0.0577529816979086,0.4089919078709265,206,"[13, 8516, 8626]","[13, 8516, 8626]",538,61,0.07142857142857142,0.0015433673469387754,0.03333333333333333,1.2666666666666666,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.46669411]), array([-0.55822363,  1.44172584])]","[array([0.20447995, 0.16345517]), array([-0.12188911,  0.46801082]), array([0.20447995, 0.16345517]), array([-0.12188911,  0.46801082])]",4.913833085386308e-10,3.831693154096335e-10,1.0325161239031522e-09,0.25359629302955644,0.12381592182329655,0.377412214852853,292,"[13, 14644, 14681]","[13, 14644, 14681]",539,111,0.07142857142857142,0.0015433673469387754,0.03333333333333333,1.2666666666666666,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.55822363,  1.44172584])]","[array([0.28638731, 0.12051602]), array([0.28638731, 0.12051602])]",2.4183676587588834e-10,3.669069930799328e-12,2.455058358066877e-10,0.18763798072868015,0.0,0.18763798072868015,2000,"[13, 33746]","[13, 33746]",592,61,0.07142857142857142,0.0015433673469387754,0.01,0.38,0.001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001083,  0.46669411]), array([-0.55822363,  1.44172584])]","[array([0.24288914, 0.29214167]), array([-0.82195672,  0.61450753]), array([0.24288914, 0.29214167]), array([-0.82195672,  0.61450753])]",2.5353095141977634e-09,1.4321562264151675e-09,4.449091584082592e-09,0.0201098624673023,0.010304485590536141,0.030414348057838443,1782,"[104, 39421, 263352]","[104, 39421, 263352]",452,111,0.1,0.0030250000000000008,0.02,0.76,0.0001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ]), array([-0.55822363,  1.44172584])]","[array([0.22793396, 0.30759772]), array([-0.83754843,  0.62340882]), array([0.22793396, 0.30759772]), array([-0.83754843,  0.62340882])]",2.618450281984567e-09,1.3914921422726681e-09,4.4002929637642734e-09,0.01841736551535192,0.0028442371715643854,0.021261602686916303,1980,"[104, 43827, 265208]","[104, 43827, 265208]",541,61,0.07142857142857142,0.0015433673469387754,0.03333333333333333,1.2666666666666666,0.001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ]), array([-0.55822363,  1.44172584])]","[array([0.25106953, 0.21376584]), array([-0.2313513,  0.4825504]), array([0.25106953, 0.21376584]), array([-0.2313513,  0.4825504])]",1.4741236532563154e-10,8.915334830132253e-11,2.455058358066877e-10,0.2853711372903558,0.19725277634990548,0.4826239136402613,307,"[13, 13807, 14684]","[13, 13807, 14684]",453,42,0.1,0.0030250000000000008,0.02,0.76,0.0001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ]), array([-0.55822363,  1.44172584])]","[array([0.22714609, 0.38666304]), array([0.12101212, 0.33398928]), array([0.22714609, 0.38666304]), array([0.12101212, 0.33398928])]",4.512141937412875e-10,3.2115442580953487e-10,9.047438657680055e-10,0.09752891192387039,0.00271406975013435,0.10024298167400474,329,"[13, 14501, 15321]","[13, 14501, 15321]",454,61,0.1,0.0030250000000000008,0.02,0.76,0.0001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ])]","[array([0.24462026, 0.30335538]), array([0.24462026, 0.30335538])]",2.7842618441253255e-09,1.7800261119375853e-09,4.564287956062911e-09,0.03376461606383889,0.0,0.03376461606383889,2000,"[104, 85484]","[104, 85484]",469,61,0.1,0.0030250000000000008,0.01,0.38,0.001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822363,  1.44172584])]","[array([0.23812937, 0.10839787]), array([0.23812937, 0.10839787])]",8.255139352724979e-10,5.800080994658102e-10,1.4055220347383082e-09,0.18636305812024284,0.0,0.18636305812024284,2000,"[13, 22438]","[13, 22438]",478,61,0.1,0.0030250000000000008,0.01,0.38,0.0001,Scipy
