found_minima,found_saddles,minima_l2_error_mean,minima_l2_error_stdv,minima_l2_error_max,saddle_l2_error_mean,saddle_l2_error_stdv,saddle_l2_error_max,bias_count,energy_calls_at_each_min,force_calls_at_each_min,run_id,seed,bias_std_dev_scale,bias_covariance,bias_height_fraction,bias_height,perturbation_size,optimizer
"[array([0.62349941, 0.02803776]), array([-0.0500185 ,  0.46669603]), array([-0.55822363,  1.44172584])]","[array([-0.22815115,  0.41772481]), array([0.287775  , 0.41863274]), array([-0.22815115,  0.41772481]), array([0.287775  , 0.41863274])]",2.6373743591908736e-06,3.729496887379865e-06,7.911679438080809e-06,0.30221381577347417,0.15573902106128962,0.45795283683476384,16,"[13, 198, 324]","[13, 198, 324]",130,61,0.2,0.012100000000000003,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05022233,  0.46674856]), array([-0.55822363,  1.44172584])]","[array([0.17776677, 0.1981016 ]), array([-0.44754468,  0.3210962 ]), array([0.17776677, 0.1981016 ]), array([-0.44754468,  0.3210962 ])]",7.280170949613348e-05,0.00010295683876203117,0.00021840466721245692,0.29143371182819877,0.1903943303837287,0.4818280422119275,30,"[13, 690, 1069]","[13, 690, 1069]",125,111,0.2,0.012100000000000003,0.2,7.6000000000000005,0.1,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05002681,  0.46669827]), array([-0.55822363,  1.44172584])]","[array([0.20066479, 0.43393201]), array([-0.29990781,  0.47749502]), array([0.20066479, 0.43393201]), array([-0.29990781,  0.47749502])]",5.50652227805024e-06,7.787106994624425e-06,1.651915460140457e-05,0.34189145063902554,0.20045285667369409,0.5423443073127197,30,"[13, 880, 985]","[13, 880, 985]",155,111,0.2,0.012100000000000003,0.1,3.8000000000000003,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001527,  0.4666952 ]), array([-0.55822363,  1.44172584])]","[array([0.25322443, 0.37891654]), array([0.11467562, 0.27238679]), array([0.25322443, 0.37891654]), array([0.11467562, 0.27238679])]",1.5256783051583924e-06,2.157182373750191e-06,4.57639487341472e-06,0.09752646545715737,0.00243055856826703,0.09995702402542442,22,"[13, 747, 1346]","[13, 747, 1346]",131,111,0.2,0.012100000000000003,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.55822363,  1.44172584]), array([-0.05007108,  0.46670998])]","[array([0.28306364, 0.00197003]), array([-1.10184198,  0.83701971]), array([0.28306364, 0.00197003]), array([-1.10184198,  0.83701971])]",2.0769667241808606e-05,2.9372434739150013e-05,6.23085628098223e-05,0.3254789363096592,0.0260248189701702,0.3515037552798294,64,"[13, 601, 2705]","[13, 601, 2705]",135,42,0.2,0.012100000000000003,0.2,7.6000000000000005,0.001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05005945,  0.46670722]), array([-0.55822363,  1.44172584])]","[array([-0.0238117 ,  0.46722024]), array([0.13393527, 0.1680847 ]), array([-0.0238117 ,  0.46722024]), array([0.13393527, 0.1680847 ])]",1.6788196871208872e-05,2.3741687258563242e-05,5.0364012985852276e-05,0.22056914018773316,0.07301839225898417,0.2935875324467173,20,"[13, 886, 1042]","[13, 886, 1042]",136,61,0.2,0.012100000000000003,0.2,7.6000000000000005,0.001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001527,  0.4666952 ]), array([-0.55822363,  1.44172584])]","[array([0.25396318, 0.36951615]), array([0.01929457, 0.22815391]), array([0.25396318, 0.36951615]), array([0.01929457, 0.22815391])]",1.5257288943797645e-06,2.1571238453668598e-06,4.576362686158266e-06,0.14541290210710656,0.058367994721326324,0.20378089682843287,30,"[13, 372, 815]","[13, 372, 815]",137,111,0.2,0.012100000000000003,0.2,7.6000000000000005,0.001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001527,  0.4666952 ]), array([-0.55822363,  1.44172584])]","[array([0.21650454, 0.27942139]), array([-0.85078445,  0.62478004]), array([0.21650454, 0.27942139]), array([-0.85078445,  0.62478004])]",1.527811856526053e-06,2.1587611570509118e-06,4.5807611385400094e-06,0.021468044627141133,0.007318639370152765,0.028786683997293897,46,"[104, 2196, 6623]","[104, 2196, 6623]",140,111,0.2,0.012100000000000003,0.2,7.6000000000000005,0.0001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05007107,  0.46670998]), array([-0.55822363,  1.44172584])]","[array([0.12366514, 0.15039324]), array([-0.84505342,  0.60134027]), array([0.12366514, 0.15039324]), array([-0.84505342,  0.60134027])]",2.0768687402482607e-05,2.9370309889716805e-05,6.230457797851797e-05,0.10027003079351758,0.06772582445707791,0.1679958552505955,68,"[104, 1667, 9057]","[104, 1667, 9057]",120,42,0.2,0.012100000000000003,0.2,7.6000000000000005,0.1,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05007108,  0.46670998]), array([-0.55822363,  1.44172584])]","[array([0.12709664, 0.1286696 ]), array([-0.83739804,  0.62382997]), array([0.12709664, 0.1286696 ]), array([-0.83739804,  0.62382997])]",2.0771575230236868e-05,2.9373932358008664e-05,6.231258875109641e-05,0.10029263679324353,0.0848885889220225,0.18518122571526605,55,"[104, 1706, 7499]","[104, 1706, 7499]",132,42,0.2,0.012100000000000003,0.2,7.6000000000000005,0.001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05007107,  0.46670998]), array([-0.55822363,  1.44172584])]","[array([0.13039776, 0.17478577]), array([-0.85895295,  0.59210595]), array([0.13039776, 0.17478577]), array([-0.85895295,  0.59210595])]",2.0768982092604274e-05,2.936971205655918e-05,6.230402720265557e-05,0.09646417595766882,0.04744697376727141,0.14391114972494023,68,"[104, 1654, 9146]","[104, 1654, 9146]",126,42,0.2,0.012100000000000003,0.2,7.6000000000000005,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822363,  1.44172584]), array([-0.05007108,  0.46670998])]","[array([0.12024124, 0.46374954]), array([-0.98591283,  0.65071091]), array([0.12024124, 0.46374954]), array([-0.98591283,  0.65071091])]",2.0769742427710463e-05,2.9372540743946798e-05,6.230878790914564e-05,0.18005369122956832,0.01403030119080606,0.19408399242037438,87,"[13, 350, 3904]","[13, 350, 3904]",141,42,0.2,0.012100000000000003,0.2,7.6000000000000005,0.0001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.0500698 ,  0.46670972]), array([-0.55822363,  1.44172584])]","[array([0.25481354, 0.32392299]), array([-0.82418608,  0.61672693]), array([0.25481354, 0.32392299]), array([-0.82418608,  0.61672693])]",2.0338630869569384e-05,2.8760571858757507e-05,6.101222164250474e-05,0.03016026326896692,0.02226611070961423,0.05242637397858115,84,"[104, 2989, 11505]","[104, 2989, 11505]",150,42,0.2,0.012100000000000003,0.1,3.8000000000000003,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05005945,  0.46670722]), array([-0.55822363,  1.44172584])]","[array([0.26831296, 0.30494603]), array([-0.83910408,  0.58898447]), array([0.26831296, 0.30494603]), array([-0.83910408,  0.58898447])]",1.679068212708187e-05,2.3742996793543903e-05,5.0368350189754205e-05,0.04817148925103951,0.008921168879887038,0.05709265813092655,32,"[104, 1877, 4471]","[104, 1877, 4471]",133,61,0.2,0.012100000000000003,0.2,7.6000000000000005,0.001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822363,  1.44172584]), array([-0.05005945,  0.46670722])]","[array([ 0.28808673, -0.02195742]), array([0.15023838, 0.54546436]), array([ 0.28808673, -0.02195742]), array([0.15023838, 0.54546436])]",1.678797337978213e-05,2.374143358725362e-05,5.036343074905631e-05,0.29196439026664583,0.03192787886324738,0.3238922691298932,62,"[13, 345, 2209]","[13, 345, 2209]",142,61,0.2,0.012100000000000003,0.2,7.6000000000000005,0.0001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001527,  0.4666952 ]), array([-0.55822363,  1.44172584])]","[array([0.25479658, 0.38489419]), array([-0.24180071,  0.33107747]), array([0.25479658, 0.38489419]), array([-0.24180071,  0.33107747])]",1.525767464726676e-06,2.157440700696495e-06,4.576849363588571e-06,0.27852922727890145,0.17735203563017968,0.4558812629090811,30,"[13, 875, 1399]","[13, 875, 1399]",143,111,0.2,0.012100000000000003,0.2,7.6000000000000005,0.0001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05007108,  0.46670998]), array([-0.55822363,  1.44172584])]","[array([0.12950168, 0.13165581]), array([-0.57654028,  0.68588257]), array([0.12950168, 0.13165581]), array([-0.57654028,  0.68588257])]",2.077219865520903e-05,2.9373583664196762e-05,6.231271903460991e-05,0.21724469184294054,0.035820669344526435,0.253065361187467,74,"[104, 1759, 10297]","[104, 1759, 10297]",138,42,0.2,0.012100000000000003,0.2,7.6000000000000005,0.0001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05006981,  0.46670972]), array([-0.55822364,  1.44172584])]","[array([0.26275262, 0.32908652]), array([-0.83683643,  0.61359105]), array([0.26275262, 0.32908652]), array([-0.83683643,  0.61359105])]",2.0340813396713497e-05,2.8763508391663117e-05,6.101855705123654e-05,0.04009440871788361,0.021790598801074583,0.0618850075189582,106,"[104, 2836, 14308]","[104, 2836, 14308]",156,42,0.2,0.012100000000000003,0.1,3.8000000000000003,0.001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.0500363 ,  0.46670077]), array([-0.55822363,  1.44172584])]","[array([0.23404811, 0.32394059]), array([-0.83704722,  0.60954619]), array([0.23404811, 0.32394059]), array([-0.83704722,  0.60954619])]",8.778656717155155e-06,1.2413848727421406e-05,2.6334489946073186e-05,0.02940164549135752,0.00832025585546881,0.037721901346826334,114,"[104, 2692, 15450]","[104, 2692, 15450]",145,61,0.2,0.012100000000000003,0.1,3.8000000000000003,0.1,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05002705,  0.46669827]), array([-0.55822363,  1.44172584])]","[array([0.20716605, 0.27675015]), array([ 1.04701524, -0.03914693]), array([0.20716605, 0.27675015]), array([ 1.04701524, -0.03914693])]",5.5844887983115005e-06,7.895524382543545e-06,1.6750446446881146e-05,0.45764065504283563,0.4405530407044591,0.8981936957472947,72,"[104, 1325, 9883]","[104, 1325, 9883]",121,61,0.2,0.012100000000000003,0.2,7.6000000000000005,0.1,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05002704,  0.46669827]), array([-0.55822363,  1.44172584])]","[array([0.19114149, 0.25322282]), array([-0.83789214,  0.57886061]), array([0.19114149, 0.25322282]), array([-0.83789214,  0.57886061])]",5.582257133270512e-06,7.89189552933026e-06,1.6743082781526177e-05,0.04664100417728349,0.0015088852764659315,0.04814988945374942,76,"[104, 1324, 10120]","[104, 1324, 10120]",127,61,0.2,0.012100000000000003,0.2,7.6000000000000005,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05044531,  0.46679228]), array([-0.55822363,  1.44172584])]","[array([0.20690614, 0.29511161]), array([-0.83987806,  0.6010342 ]), array([0.20690614, 0.29511161]), array([-0.83987806,  0.6010342 ])]",0.0001484803605879709,0.0002099818789063191,0.0004454395815897273,0.017660705277810648,0.011689973165091178,0.029350678442901828,85,"[104, 3452, 11351]","[104, 3452, 11351]",151,61,0.2,0.012100000000000003,0.1,3.8000000000000003,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001527,  0.4666952 ]), array([-0.55822364,  1.44172584])]","[array([0.21136147, 0.28884202]), array([-0.21910697,  0.12137353]), array([0.21136147, 0.28884202]), array([-0.21910697,  0.12137353])]",1.528170893820737e-06,2.1582467660740844e-06,4.580392497848818e-06,0.2343789523786605,0.2300827037886021,0.4644616561672626,79,"[104, 2220, 11146]","[104, 2220, 11146]",134,111,0.2,0.012100000000000003,0.2,7.6000000000000005,0.001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001526,  0.4666952 ]), array([-0.55822363,  1.44172584])]","[array([0.21014883, 0.29247649]), array([-0.80833278,  0.61306686]), array([0.21014883, 0.29247649]), array([-0.80833278,  0.61306686])]",1.525150641707541e-06,2.154955120901465e-06,4.5727173711602306e-06,0.010046802221329972,0.007653672961839854,0.017700475183169827,39,"[104, 2209, 5270]","[104, 2209, 5270]",128,111,0.2,0.012100000000000003,0.2,7.6000000000000005,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.0500185 ,  0.46669603]), array([-0.55822364,  1.44172584])]","[array([0.16532324, 0.27424211]), array([-0.20368319,  0.0787306 ]), array([0.16532324, 0.27424211]), array([-0.20368319,  0.0787306 ])]",2.6389705242326442e-06,3.7305978114688722e-06,7.914832544814046e-06,0.25941872367245783,0.20866636772596917,0.468085091398427,77,"[104, 1982, 10696]","[104, 1982, 10696]",139,61,0.2,0.012100000000000003,0.2,7.6000000000000005,0.0001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001527,  0.4666952 ]), array([-0.55822363,  1.44172584])]","[array([0.88035705, 0.11420745]), array([ 0.15200983, -0.1492105 ]), array([0.88035705, 0.11420745]), array([ 0.15200983, -0.1492105 ])]",1.527657300995548e-06,2.158677461153427e-06,4.580488231019642e-06,0.5688502157803315,0.1225350339833064,0.6913852497636379,69,"[104, 2094, 9088]","[104, 2094, 9088]",122,111,0.2,0.012100000000000003,0.2,7.6000000000000005,0.1,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822363,  1.44172584]), array([-0.05007316,  0.46671074])]","[array([0.10337595, 0.45425558]), array([0.00719666, 0.46783161]), array([0.10337595, 0.45425558]), array([0.00719666, 0.46783161])]",2.1505239858264915e-05,3.04126859529582e-05,6.451527280112453e-05,0.23218313585384764,0.03747243698151523,0.26965557283536284,52,"[13, 902, 2134]","[13, 902, 2134]",129,42,0.2,0.012100000000000003,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05006987,  0.46670973]), array([-0.55822363,  1.44172584])]","[array([0.25387923, 0.38475483]), array([0.12912009, 0.10213855]), array([0.25387923, 0.38475483]), array([0.12912009, 0.10213855])]",2.0359127538739887e-05,2.879185003600612e-05,6.107695234545693e-05,0.15446664170327193,0.053796672902329805,0.20826331460560174,52,"[13, 1581, 2802]","[13, 1581, 2802]",165,42,0.2,0.012100000000000003,0.1,3.8000000000000003,0.0001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05020975,  0.46674226]), array([-0.55822363,  1.44172584])]","[array([-0.32544397,  0.42593022]), array([-0.02970431,  0.09009315]), array([-0.32544397,  0.42593022]), array([-0.02970431,  0.09009315])]",6.82253184898222e-05,9.648485544471332e-05,0.00020467550962334084,0.42533361382265655,0.10938601988351712,0.5347196337061737,85,"[13, 553, 3609]","[13, 553, 3609]",160,61,0.2,0.012100000000000003,0.1,3.8000000000000003,0.001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.55822363,  1.44172584]), array([-0.05012641,  0.46672453])]","[array([ 0.51738958, -0.11200276]), array([-1.17276992,  0.85315006]), array([ 0.51738958, -0.11200276]), array([-1.17276992,  0.85315006])]",3.9841141341286006e-05,5.634357485196944e-05,0.00011952298904951827,0.46287461746694547,0.04406089209819322,0.5069355095651387,64,"[13, 238, 1525]","[13, 238, 1525]",123,42,0.2,0.012100000000000003,0.2,7.6000000000000005,0.1,Scipy
"[array([0.62349941, 0.02803776]), array([-0.0500294 ,  0.46669874]), array([-0.55822363,  1.44172584])]","[array([0.47863121, 0.26821848]), array([ 0.2848283 , -0.12279148]), array([0.47863121, 0.26821848]), array([ 0.2848283 , -0.12279148])]",6.383435336033813e-06,9.027231181281917e-06,1.9149868103243176e-05,0.34466052873821673,0.07736573615333339,0.4220262648915501,31,"[13, 267, 593]","[13, 267, 593]",124,61,0.2,0.012100000000000003,0.2,7.6000000000000005,0.1,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05003164,  0.46669957]), array([-0.55822363,  1.44172584])]","[array([-0.12245596,  0.44532017]), array([0.33963665, 0.38391714]), array([-0.12245596,  0.44532017]), array([0.33963665, 0.38391714])]",7.172817709507051e-06,1.0143581202513106e-05,2.151800781710961e-05,0.2621367161853093,0.10581912344424613,0.3679558396295554,55,"[13, 825, 1511]","[13, 825, 1511]",161,111,0.2,0.012100000000000003,0.1,3.8000000000000003,0.001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001865,  0.46669609]), array([-0.55822363,  1.44172584])]","[array([-0.11886043,  0.40046796]), array([-0.63335824,  0.51289302]), array([-0.11886043,  0.40046796]), array([-0.63335824,  0.51289302])]",2.6919946811563554e-06,3.8067505720502595e-06,8.075552968610154e-06,0.28371668222214086,0.06462612987087579,0.34834281209301665,61,"[13, 745, 2311]","[13, 745, 2311]",166,61,0.2,0.012100000000000003,0.1,3.8000000000000003,0.0001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05003362,  0.46670012]), array([-0.55822363,  1.44172584])]","[array([0.21170356, 0.30311449]), array([-0.80188418,  0.48409007]), array([0.21170356, 0.30311449]), array([-0.80188418,  0.48409007])]",7.861515020225145e-06,1.1115521953574313e-05,2.3581236901916395e-05,0.0759074362681411,0.06575103874873384,0.14165847501687495,96,"[104, 3044, 12788]","[104, 3044, 12788]",146,111,0.2,0.012100000000000003,0.1,3.8000000000000003,0.1,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05008362,  0.4667135 ]), array([-0.55822363,  1.44172584])]","[array([0.24974661, 0.36973181]), array([0.22054016, 0.48200312]), array([0.24974661, 0.36973181]), array([0.22054016, 0.48200312])]",2.5112625041575154e-05,3.5514302044504993e-05,7.533743265112084e-05,0.13724837067678647,0.05193792513540047,0.18918629581218693,30,"[13, 796, 889]","[13, 796, 889]",147,42,0.2,0.012100000000000003,0.1,3.8000000000000003,0.1,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05006312,  0.46670813]), array([-0.55822363,  1.44172584])]","[array([0.24688608, 0.3110572 ]), array([-0.83473562,  0.59645581]), array([0.24688608, 0.3110572 ]), array([-0.83473562,  0.59645581])]",1.8047128359458738e-05,2.5521604537903002e-05,5.4140127627879355e-05,0.034742903843636125,0.004113366101106434,0.03885626994474256,129,"[104, 2992, 17339]","[104, 2992, 17339]",144,42,0.2,0.012100000000000003,0.1,3.8000000000000003,0.1,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05015435,  0.4667273 ]), array([-0.55822363,  1.44172584])]","[array([0.33719422, 0.25317349]), array([-0.41204811,  0.31706685]), array([0.33719422, 0.25317349]), array([-0.41204811,  0.31706685])]",4.9106917829159416e-05,6.944737598896899e-05,0.00014732033882397313,0.32160977559558207,0.19070058711264673,0.5123103627082288,85,"[13, 1732, 3495]","[13, 1732, 3495]",148,61,0.2,0.012100000000000003,0.1,3.8000000000000003,0.1,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05003163,  0.46669957]), array([-0.55822363,  1.44172584])]","[array([0.22565636, 0.41908668]), array([-0.69850662,  0.53289845]), array([0.22565636, 0.41908668]), array([-0.69850662,  0.53289845])]",7.171524317083169e-06,1.0141752363188965e-05,2.1514128055309677e-05,0.14021590636164327,0.013431687191722608,0.15364759355336588,96,"[13, 1382, 5802]","[13, 1382, 5802]",167,111,0.2,0.012100000000000003,0.1,3.8000000000000003,0.0001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05020713,  0.46673812]), array([-0.55822363,  1.44172584])]","[array([0.17933638, 0.27449229]), array([-0.84790235,  0.61167077]), array([0.17933638, 0.27449229]), array([-0.84790235,  0.61167077])]",6.706161188165637e-05,9.483714009646911e-05,0.00020118158162083234,0.03339120185104431,0.004569821710150015,0.037961023561194324,115,"[104, 2507, 16464]","[104, 2507, 16464]",157,61,0.2,0.012100000000000003,0.1,3.8000000000000003,0.001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001782,  0.46669588]), array([-0.55822363,  1.44172584])]","[array([ 0.847438  , -0.07749694]), array([0.41522624, 0.49306359]), array([ 0.847438  , -0.07749694]), array([0.41522624, 0.49306359])]",2.4064551565686595e-06,3.4029215440121798e-06,7.218912955750949e-06,0.5099869176109224,0.22514752138191724,0.7351344389928396,87,"[13, 2133, 6405]","[13, 2133, 6405]",149,111,0.2,0.012100000000000003,0.1,3.8000000000000003,0.1,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05003163,  0.46669957]), array([-0.55822363,  1.44172584])]","[array([0.22718471, 0.29587862]), array([-0.86355179,  0.59556351]), array([0.22718471, 0.29587862]), array([-0.86355179,  0.59556351])]",7.171910699572957e-06,1.0140133387468886e-05,2.1512224834295702e-05,0.03275313652532358,0.01777352014930689,0.050526656674630466,148,"[104, 3217, 19886]","[104, 3217, 19886]",152,111,0.2,0.012100000000000003,0.1,3.8000000000000003,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05006387,  0.46670672]), array([-0.55822363,  1.44172584])]","[array([0.17267795, 0.44012444]), array([0.07549097, 0.14559588]), array([0.17267795, 0.44012444]), array([0.07549097, 0.14559588])]",1.8173774369987604e-05,2.5701277423771537e-05,5.452086947299235e-05,0.1768266586712314,0.024400399365524808,0.2012270580367562,159,"[13, 2793, 5145]","[13, 2793, 5145]",185,111,0.2,0.012100000000000003,0.03333333333333333,1.2666666666666666,0.001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001574,  0.46669534]), array([-0.55822363,  1.44172584])]","[array([0.40407096, 0.22180795]), array([0.33105969, 0.31100263]), array([0.40407096, 0.22180795]), array([0.33105969, 0.31100263])]",1.6905917155544723e-06,2.390543988043025e-06,5.071331444784043e-06,0.16215690473323818,0.04222318073639737,0.20438008546963557,33,"[13, 769, 1000]","[13, 769, 1000]",153,42,0.2,0.012100000000000003,0.1,3.8000000000000003,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05020975,  0.46674227]), array([-0.55822363,  1.44172584])]","[array([0.17185011, 0.09931536]), array([0.26571941, 0.29108816]), array([0.17185011, 0.09931536]), array([0.26571941, 0.29108816])]",6.822459090881496e-05,9.648382466934126e-05,0.00020467332430582294,0.12557847965393426,0.07231174659590159,0.19789022624983585,38,"[13, 804, 1006]","[13, 804, 1006]",154,61,0.2,0.012100000000000003,0.1,3.8000000000000003,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05006981,  0.46670972]), array([-0.55822363,  1.44172584])]","[array([0.26420523, 0.32460383]), array([-0.82184453,  0.59987109]), array([0.26420523, 0.32460383]), array([-0.82184453,  0.59987109])]",2.0340858709437543e-05,2.876426079767715e-05,6.1019666437821635e-05,0.04252935283297882,0.0180871367002481,0.06061648953322692,129,"[104, 2821, 17739]","[104, 2821, 17739]",162,42,0.2,0.012100000000000003,0.1,3.8000000000000003,0.0001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05003965,  0.46670161]), array([-0.55822364,  1.44172584])]","[array([0.35573821, 0.19485675]), array([0.00488581, 0.27258452]), array([0.35573821, 0.19485675]), array([0.00488581, 0.27258452])]",9.931807676481165e-06,1.4043812142543845e-05,2.9792757236196722e-05,0.1911205023253565,0.017480543860607697,0.2086010461859642,134,"[13, 2857, 5154]","[13, 2857, 5154]",190,61,0.2,0.012100000000000003,0.03333333333333333,1.2666666666666666,0.0001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05002315,  0.46669727]), array([-0.55822363,  1.44172584])]","[array([0.26010946, 0.37401018]), array([0.18532294, 0.26330747]), array([0.26010946, 0.37401018]), array([0.18532294, 0.26330747])]",4.242656464889916e-06,5.999746459515572e-06,1.2727579278536836e-05,0.06710789499856444,0.02687337460317156,0.093981269601736,108,"[13, 2066, 3684]","[13, 2066, 3684]",191,111,0.2,0.012100000000000003,0.03333333333333333,1.2666666666666666,0.0001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05003163,  0.46669957]), array([-0.55822363,  1.44172584])]","[array([0.22607763, 0.30862024]), array([-0.82392371,  0.58407167]), array([0.22607763, 0.30862024]), array([-0.82392371,  0.58407167])]",7.1715449006540675e-06,1.0140158485421558e-05,2.1511894549127814e-05,0.03050054976520164,0.009786461425757939,0.04028701119095958,148,"[104, 3120, 19670]","[104, 3120, 19670]",158,111,0.2,0.012100000000000003,0.1,3.8000000000000003,0.001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05006986,  0.46670973]), array([-0.55822363,  1.44172584])]","[array([0.24307217, 0.39197929]), array([-0.07304002,  0.58688687]), array([0.24307217, 0.39197929]), array([-0.07304002,  0.58688687])]",2.0357918862131045e-05,2.879013174684739e-05,6.107331364102137e-05,0.2566832806045366,0.15307493256602836,0.40975821317056493,35,"[13, 898, 1614]","[13, 898, 1614]",159,42,0.2,0.012100000000000003,0.1,3.8000000000000003,0.001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001865,  0.46669608]), array([-0.55822363,  1.44172584])]","[array([0.2162886 , 0.29502815]), array([-0.84586871,  0.57416806]), array([0.2162886 , 0.29502815]), array([-0.84586871,  0.57416806])]",2.691437053353157e-06,3.8038340340059728e-06,8.070870669726257e-06,0.029924825256622403,0.025610175039695017,0.055535000296317416,135,"[104, 2236, 19290]","[104, 2236, 19290]",163,61,0.2,0.012100000000000003,0.1,3.8000000000000003,0.0001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.0500316 ,  0.46669955]), array([-0.55822364,  1.44172584])]","[array([0.1887132 , 0.02863845]), array([-0.40086647,  0.58420719]), array([0.1887132 , 0.02863845]), array([-0.40086647,  0.58420719])]",7.161688207743067e-06,1.0126596629749663e-05,2.1482858467981647e-05,0.34422857743664403,0.07881187099503564,0.4230404484316797,214,"[13, 2262, 7365]","[13, 2262, 7365]",195,42,0.2,0.012100000000000003,0.02,0.76,0.1,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001122,  0.4666942 ]), array([-0.55822363,  1.44172584])]","[array([0.003381  , 0.48369495]), array([-0.29227334,  0.58607832]), array([0.003381  , 0.48369495]), array([-0.29227334,  0.58607832])]",1.3720374856270392e-07,1.9372238131504453e-07,4.111685661325491e-07,0.4070576895093224,0.12404857208985964,0.5311062615991821,175,"[13, 3016, 7596]","[13, 3016, 7596]",196,61,0.2,0.012100000000000003,0.02,0.76,0.1,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001424,  0.46669496]), array([-0.55822363,  1.44172584])]","[array([ 0.83404973, -0.07791265]), array([-0.04640303,  0.56662973]), array([ 0.83404973, -0.07791265]), array([-0.04640303,  0.56662973])]",1.172873481520461e-06,1.6583800105611021e-06,3.518176983863726e-06,0.550257919876513,0.17355717209662763,0.7238150919731405,89,"[13, 2845, 2903]","[13, 2845, 2903]",197,111,0.2,0.012100000000000003,0.02,0.76,0.1,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05010546,  0.46671616]), array([-0.55822363,  1.44172584])]","[array([0.20403778, 0.31679107]), array([-0.81633356,  0.60337521]), array([0.20403778, 0.31679107]), array([-0.81633356,  0.60337521])]",3.2393339213832824e-05,4.580900032045931e-05,9.717704874340675e-05,0.023474473404578748,0.0017832558714815476,0.025257729276060296,277,"[104, 7793, 37308]","[104, 7793, 37308]",175,61,0.2,0.012100000000000003,0.03333333333333333,1.2666666666666666,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05003164,  0.46669957]), array([-0.55822364,  1.44172584])]","[array([0.23001844, 0.30127242]), array([-0.18641395,  0.12008397]), array([0.23001844, 0.30127242]), array([-0.18641395,  0.12008397])]",7.174111621357407e-06,1.0144169779870745e-05,2.152013410263634e-05,0.22707600684139556,0.20768548346838675,0.43476149030978234,148,"[104, 3092, 19559]","[104, 3092, 19559]",164,111,0.2,0.012100000000000003,0.1,3.8000000000000003,0.0001,FIRE
